author_name,paper_title
Xinya Chen,Adversarial Semantic Data Augmentation for Human Pose Estimation
Xuan Cao,Adversarial Semantic Data Augmentation for Human Pose Estimation
Xuran Pan,Implicit Semantic Data Augmentation for Deep Networks
Y. Chung,Tajo: A distributed data warehouse system on large clusters
Y. Ni,HadoopRDF: A Scalable Semantic Data Analytical Engine
Yanchao Yang,FDA: Fourier Domain Adaptation for Semantic Segmentation
Yang Zou,Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training
Yanhao Ge,Adversarial Semantic Data Augmentation for Human Pose Estimation
Yanrui Bin,Adversarial Semantic Data Augmentation for Human Pose Estimation
Yassine Ouali,Semi-Supervised Semantic Segmentation With Cross-Consistency Training
Yifan Liu,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Yin Huai,RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems
Ying Tai,Adversarial Semantic Data Augmentation for Human Pose Estimation
Yohannes Kurniawan,Use data warehouse and data mining to predict student academic performance in schools: A case study (perspective application and benefits)
Yong Yu,HadoopRDF: A Scalable Semantic Data Analytical Engine
Yongqiang He,RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems
